filename,topic,year,journal
"admin,+Gestor_a+de+la+revista,+Orbisn01a02.txt",1,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a03.txt",3,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a04.txt",1,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a07.txt",1,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a08.txt",1,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a09.txt",1,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a10.txt",4,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a11.txt",1,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+Orbisn01a12.txt",8,1996-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe001.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe002.txt",0,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe003.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe004.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe005.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe006.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe007.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe015.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe016.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe017.txt",-1,2016-01-01 00:00:00,Orbis
"admin,+Gestor_a+de+la+revista,+OTe018.txt",0,2016-01-01 00:00:00,Orbis
