Type,Count,Examples
Person: Author (literary),26,"Albert Camus, Benítez Rojo, César Aira"
Concept: Cultural,13,"Estado, arte, ciudad"
Concept: Literary,10,"Barroco, crítica, escritura"
Person: Author (critic),7,"Alberto Giordano, Beatriz Sarlo, Josefina Ludmer"
Place: Country,7,"Argentina, Brasil, Cuba"
Thing: Role,7,"Escritor, Lector, autor"
Place: City,5,"Barcelona, Buenos Aires, Madrid"
Org: Institution,4,"Centro de Estudios de Teoría y Crítica Literaria, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata"
Person: Author (other),4,"Friedrich Nietzsche, Jacques Lacan, Jean Paul Sartre"
Place: Region,3,"América, América Latina, Europa"
Org: Journal,3,"Caras y Caretas, La Nación, Orbis Tertius"
Person: Character,3,"Martín Fierro, Molina, gaucho"
Thing: General,3,"hombres, madres, padre"
Thing: Literary object,3,"libro, palabras, poemas"
Org: Publisher,2,"Anagrama, Biblioteca Ayacucho"
Person: Historical,2,"Domingo Sarmiento, Mariano Moreno"
Person: Author (theory),2,"Jacques Derrida, Roland Barthes"
Concept: Genre,2,"novela, poesía"
